countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
BDI,Burundi,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.435,
BDI,Burundi,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,866.1928704,
BDI,Burundi,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,9.966378953,
BEL,Belgium,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,19.27527046,
BEL,Belgium,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,59543.68308,
BEL,Belgium,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.939,
BEL,Belgium,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,80.798,
BEL,Belgium,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,12.53386908,
BEN,Benin,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,3.113870025,
BEN,Benin,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,60.154,
BEN,Benin,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.504,
BEN,Benin,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,3394.211342,
BEN,Benin,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,10.30257988,
BFA,Burkina Faso,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,8.777890205,
BFA,Burkina Faso,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,2286.295787,
BFA,Burkina Faso,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.453,
BFA,Burkina Faso,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,60.454,
BFA,Burkina Faso,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,2.183274984,
BGD,Bangladesh,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,7.099999905,
BGD,Bangladesh,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,71.421,
BGD,Bangladesh,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.663,
BGD,Bangladesh,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,7256.570492,
BGD,Bangladesh,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,11.94633007,
BGR,Bulgaria,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,15.61781979,
BGR,Bulgaria,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,26169.45053,
BGR,Bulgaria,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.826,
BGR,Bulgaria,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,73.599,
BGR,Bulgaria,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11.40999985,
BHR,Bahrain,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11,
BHR,Bahrain,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,78.683,
BHR,Bahrain,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.885,
BHR,Bahrain,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,48744.53713,
BHR,Bahrain,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,16.39122709,
BHS,Bahamas,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,11.89137971,
BHS,Bahamas,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,23454.16093,
BHS,Bahamas,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.797,
BHS,Bahamas,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,72.994,
BHS,Bahamas,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,12.724569,
BIH,Bosnia and Herzegovina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,10.53999996,
BIH,Bosnia and Herzegovina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,76.04,
BIH,Bosnia and Herzegovina,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.783,
BIH,Bosnia and Herzegovina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,16802.74452,
BIH,Bosnia and Herzegovina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,13.25508976,
BLR,Belarus,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,14.26484013,
BLR,Belarus,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,25673.26534,
BLR,Belarus,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.815,
BLR,Belarus,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,72.269,
BLR,Belarus,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,12.23729677,
BLZ,Belize,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,8.850000381,
BLZ,Belize,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,71.58,
BLZ,Belize,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.713,
BLZ,Belize,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,9642.416092,
BLZ,Belize,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,13.16993046,
BOL,Bolivia (Plurinational State of),HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,15.52953515,
BOL,Bolivia (Plurinational State of),HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,8811.178217,
