method,2012_10_voters_common,2012_6_voters_common,2013_10_voters_common,2013_6_voters_common,2014_10_voters_common,2014_6_voters_common,2015_10_voters_common,2015_6_voters_common
transformer,0.2564361095428467,0.6900017261505127,0.1337120532989502,0.7589263916015625,0.6857824325561523,1.9409358501434328,0.6979663372039795,1.9397168159484863
decor,5.8414945602417,21.1722040176392,2.64728307723999,20.9785118103027,21.0685992240906,122.610815525055,21.7080082893372,125.464663267136
borda,6.771087646484375e-05,5.8650970458984375e-05,2.789497375488281e-05,5.91278076171875e-05,6.079673767089844e-05,0.0001263618469238,5.841255187988281e-05,0.0001263618469238
markov_chain,0.4946002960205078,0.0714845657348632,0.0012867450714111,0.0608918666839599,0.0665383338928222,0.5983176231384277,0.0709435939788818,0.6054749488830566
spearman,0.0017933845520019,0.0107693672180175,0.0002541542053222,0.0084669589996337,0.008796215057373,0.0564329624176025,0.0066308975219726,0.0624985694885253
kwiksort,0.1068031787872314,0.7183129787445068,0.0264651775360107,0.71014404296875,0.7198729515075684,5.591261863708496,0.730546236038208,5.620720624923706
max_agreement,0.1102721691131591,0.7621216773986816,0.0272440910339355,0.7617876529693604,0.7556602954864502,6.719118595123291,0.7826712131500244,6.794280529022217
min_regret,0.1165535449981689,0.8270280361175537,0.0284781455993652,0.8313603401184082,0.8386285305023193,8.119675636291504,0.8545036315917969,8.165706634521484
