# Country: Name of the country
# hdi_ranking: Human Development Index
# gpi_ranking: Global Peace Index
# cpi_ranking: Corruption Perceptions Index
# gii_ranking: Global Innovation Index
# di_ranking: Democracy Index
# le_ranking: life expectancy
# gpd_ranking: GDP Per Capita
# schooling_ranking: Years Of Schooling
Country,hdi_ranking,gpi_ranking,cpi_ranking,gii_ranking,di_ranking,le_ranking,gpd_ranking,schooling_ranking
Sweden,2.0,17.0,0.0,1.0,0.0,5.0,21.0,9.0
Switzerland,0.0,2.0,1.0,0.0,4.0,3.0,17.0,1.0
Syria,76.0,99.0,99.0,98.0,99.0,50.0,97.0,72.0
Tajikistan,60.0,71.0,86.0,65.0,96.0,58.0,93.0,27.0
Tanzania,80.0,40.0,50.0,51.0,49.0,71.0,60.0,75.0
Thailand,33.0,62.0,54.0,26.0,41.0,27.0,23.0,51.0
Togo,81.0,63.0,72.0,81.0,84.0,82.0,94.0,77.0
Tunisia,50.0,51.0,33.0,39.0,28.0,24.0,68.0,59.0
Turkey,25.0,93.0,41.0,32.0,58.0,30.0,18.0,53.0
Uganda,75.0,76.0,78.0,70.0,54.0,75.0,70.0,70.0
Ukraine,35.0,92.0,60.0,27.0,43.0,48.0,47.0,29.0
United Arab Emirates,13.0,60.0,10.0,20.0,87.0,18.0,30.0,8.0
United Kingdom,7.0,16.0,6.0,3.0,6.0,17.0,4.0,5.0
United States,9.0,67.0,13.0,2.0,13.0,25.0,0.0,3.0
Uzbekistan,52.0,55.0,77.0,54.0,93.0,53.0,63.0,20.0
Venezuela,55.0,78.0,98.0,99.0,86.0,49.0,98.0,44.0
Vietnam,45.0,28.0,55.0,24.0,80.0,36.0,35.0,54.0
Yemen,93.0,97.0,97.0,87.0,95.0,74.0,99.0,84.0
Zambia,74.0,15.0,61.0,78.0,56.0,91.0,79.0,62.0
Zimbabwe,72.0,65.0,91.0,76.0,74.0,97.0,80.0,52.0
