26-03-07--06-25-36

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=random_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=None
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1

Epoch: 34, epoch time: 15.05min, tot time: 0.31day, kemeny_dis_train: 1886.344796, kemeny_dis_base: 1886.579712, update: True, training_phase: 2
Epoch: 35, epoch time: 14.96min, tot time: 0.32day, kemeny_dis_train: 1881.635789, kemeny_dis_base: 1881.960897, update: True, training_phase: 2
Epoch: 36, epoch time: 14.99min, tot time: 0.33day, kemeny_dis_train: 1886.645766, kemeny_dis_base: 1886.206684, update: False, training_phase: 2
Epoch: 37, epoch time: 15.02min, tot time: 0.34day, kemeny_dis_train: 1883.873973, kemeny_dis_base: 1883.747219, update: False, training_phase: 2
Epoch: 38, epoch time: 15.01min, tot time: 0.35day, kemeny_dis_train: 1881.308685, kemeny_dis_base: 1881.371625, update: False, training_phase: 2
Epoch: 39, epoch time: 15.03min, tot time: 0.36day, kemeny_dis_train: 1872.816733, kemeny_dis_base: 1873.330887, update: True, training_phase: 2
Epoch: 40, epoch time: 15.00min, tot time: 0.38day, kemeny_dis_train: 1879.444039, kemeny_dis_base: 1879.672100, update: True, training_phase: 2
Epoch: 41, epoch time: 15.06min, tot time: 0.39day, kemeny_dis_train: 1882.555356, kemeny_dis_base: 1882.692979, update: True, training_phase: 2
Epoch: 42, epoch time: 15.05min, tot time: 0.40day, kemeny_dis_train: 1884.449528, kemeny_dis_base: 1884.609474, update: True, training_phase: 2
Epoch: 43, epoch time: 15.03min, tot time: 0.41day, kemeny_dis_train: 1890.225074, kemeny_dis_base: 1890.423536, update: True, training_phase: 2
Epoch: 44, epoch time: 14.96min, tot time: 0.42day, kemeny_dis_train: 1874.661968, kemeny_dis_base: 1875.006343, update: True, training_phase: 2
Epoch: 45, epoch time: 15.04min, tot time: 0.43day, kemeny_dis_train: 1886.738210, kemeny_dis_base: 1886.808314, update: False, training_phase: 2
Epoch: 46, epoch time: 15.01min, tot time: 0.44day, kemeny_dis_train: 1886.032671, kemeny_dis_base: 1886.356431, update: True, training_phase: 2
Epoch: 47, epoch time: 15.05min, tot time: 0.45day, kemeny_dis_train: 1870.237236, kemeny_dis_base: 1870.502348, update: True, training_phase: 2
Epoch: 48, epoch time: 15.00min, tot time: 0.46day, kemeny_dis_train: 1876.152294, kemeny_dis_base: 1876.209542, update: False, training_phase: 2
Epoch: 49, epoch time: 14.95min, tot time: 0.47day, kemeny_dis_train: 1876.877251, kemeny_dis_base: 1877.179053, update: True, training_phase: 2
Epoch: 50, epoch time: 14.99min, tot time: 0.48day, kemeny_dis_train: 1881.937527, kemeny_dis_base: 1882.045646, update: True, training_phase: 2
Epoch: 51, epoch time: 15.01min, tot time: 0.49day, kemeny_dis_train: 1878.113687, kemeny_dis_base: 1878.150400, update: False, training_phase: 2
Epoch: 52, epoch time: 14.96min, tot time: 0.50day, kemeny_dis_train: 1879.204679, kemeny_dis_base: 1879.439460, update: True, training_phase: 2
Epoch: 53, epoch time: 15.00min, tot time: 0.51day, kemeny_dis_train: 1875.514918, kemeny_dis_base: 1875.896833, update: True, training_phase: 2
Epoch: 54, epoch time: 15.00min, tot time: 0.52day, kemeny_dis_train: 1875.443472, kemeny_dis_base: 1875.594411, update: True, training_phase: 2
Epoch: 55, epoch time: 15.00min, tot time: 0.53day, kemeny_dis_train: 1880.136314, kemeny_dis_base: 1880.228999, update: True, training_phase: 2
Epoch: 56, epoch time: 14.99min, tot time: 0.54day, kemeny_dis_train: 1874.410310, kemeny_dis_base: 1874.735681, update: True, training_phase: 2
Epoch: 57, epoch time: 15.02min, tot time: 0.55day, kemeny_dis_train: 1879.214657, kemeny_dis_base: 1879.165540, update: False, training_phase: 2
Epoch: 58, epoch time: 14.98min, tot time: 0.56day, kemeny_dis_train: 1880.018682, kemeny_dis_base: 1879.952119, update: False, training_phase: 2
Epoch: 59, epoch time: 15.00min, tot time: 0.57day, kemeny_dis_train: 1877.043206, kemeny_dis_base: 1877.040466, update: False, training_phase: 2
Epoch: 60, epoch time: 15.03min, tot time: 0.58day, kemeny_dis_train: 1884.882134, kemeny_dis_base: 1885.142991, update: True, training_phase: 2
Epoch: 61, epoch time: 15.04min, tot time: 0.59day, kemeny_dis_train: 1885.386688, kemeny_dis_base: 1885.521156, update: True, training_phase: 2
