26-03-11--08-13-30

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=fine_tuning_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=checkpoint_epoch_400.pkl
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1


Epoch: 434, epoch time: 10.24min, tot time: 3.73day, kemeny_dis_train: 1454.017846, kemeny_dis_base: 1453.869129, update: False, training_phase: 2
Epoch: 435, epoch time: 10.31min, tot time: 3.73day, kemeny_dis_train: 1431.093039, kemeny_dis_base: 1431.111153, update: False, training_phase: 2
Epoch: 436, epoch time: 10.24min, tot time: 3.74day, kemeny_dis_train: 1439.588456, kemeny_dis_base: 1439.961391, update: True, training_phase: 2
Epoch: 437, epoch time: 10.23min, tot time: 3.75day, kemeny_dis_train: 1439.218111, kemeny_dis_base: 1438.828728, update: False, training_phase: 2
Epoch: 438, epoch time: 10.16min, tot time: 3.75day, kemeny_dis_train: 1439.115745, kemeny_dis_base: 1438.694353, update: False, training_phase: 2
Epoch: 439, epoch time: 10.26min, tot time: 3.76day, kemeny_dis_train: 1443.060879, kemeny_dis_base: 1442.789402, update: False, training_phase: 2
Epoch: 440, epoch time: 10.24min, tot time: 3.77day, kemeny_dis_train: 1426.168860, kemeny_dis_base: 1425.905295, update: False, training_phase: 2
Epoch: 441, epoch time: 10.23min, tot time: 3.78day, kemeny_dis_train: 1434.357103, kemeny_dis_base: 1434.975624, update: False, training_phase: 2
Epoch: 442, epoch time: 10.24min, tot time: 3.78day, kemeny_dis_train: 1427.733208, kemeny_dis_base: 1427.400368, update: False, training_phase: 2
Epoch: 443, epoch time: 10.25min, tot time: 3.79day, kemeny_dis_train: 1445.170858, kemeny_dis_base: 1445.195588, update: False, training_phase: 2
Epoch: 444, epoch time: 10.18min, tot time: 3.80day, kemeny_dis_train: 1447.833207, kemeny_dis_base: 1447.384571, update: False, training_phase: 2
Epoch: 445, epoch time: 10.27min, tot time: 3.80day, kemeny_dis_train: 1411.069996, kemeny_dis_base: 1410.947827, update: False, training_phase: 2
Epoch: 446, epoch time: 10.21min, tot time: 3.81day, kemeny_dis_train: 1405.658308, kemeny_dis_base: 1405.441228, update: False, training_phase: 2
Epoch: 447, epoch time: 10.24min, tot time: 3.82day, kemeny_dis_train: 1433.665329, kemeny_dis_base: 1433.498401, update: False, training_phase: 2
Epoch: 448, epoch time: 10.24min, tot time: 3.83day, kemeny_dis_train: 1436.870390, kemeny_dis_base: 1436.799003, update: False, training_phase: 2
Epoch: 449, epoch time: 10.27min, tot time: 3.83day, kemeny_dis_train: 1443.837925, kemeny_dis_base: 1443.545163, update: False, training_phase: 2
Epoch: 450, epoch time: 10.19min, tot time: 3.84day, kemeny_dis_train: 1429.046972, kemeny_dis_base: 1428.968526, update: False, training_phase: 2
Epoch: 451, epoch time: 10.27min, tot time: 3.85day, kemeny_dis_train: 1426.145331, kemeny_dis_base: 1426.234720, update: False, training_phase: 2
