source_file,kemeny_distance,time_sec,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50,rank_51,rank_52,rank_53,rank_54,rank_55,rank_56,rank_57,rank_58,rank_59,rank_60,rank_61,rank_62,rank_63,rank_64,rank_65,rank_66,rank_67
MEAN/TOTAL,551.4,0.0012867450714111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013_10_voters_common.csv#0,551.4,0.0012867450714111,198,164,98,204,241,97,352,362,433,346,265,277,426,66,266,170,147,341,103,186,326,38,159,276,275,39,141,406,437,393,11,121,196,28,125,150,419,175,151,194,230,88,329,438,315,119,390,271,340,280,3,192,193,309,128,80,12,122,220,264,72,369,134,189,316,90,339
