source_file,kemeny_distance,time_sec,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50,rank_51,rank_52,rank_53,rank_54,rank_55,rank_56,rank_57,rank_58,rank_59,rank_60,rank_61,rank_62,rank_63,rank_64,rank_65,rank_66,rank_67
MEAN/TOTAL,545.6,0.0272440910339355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013_10_voters_common.csv#0,545.6,0.0272440910339355,198,98,164,241,97,204,352,362,433,265,426,277,346,66,170,266,147,341,103,275,141,159,186,393,39,11,406,437,329,125,121,194,28,276,196,38,119,315,230,419,326,175,150,151,193,280,390,192,271,88,3,340,438,309,220,80,128,12,122,72,264,369,134,316,189,90,339
