method,2012_10_voters_common,2012_6_voters_common,2013_10_voters_common,2013_6_voters_common,2014_10_voters_common,2014_6_voters_common,2015_10_voters_common,2015_6_voters_common
transformer,2310.8,16555.333333333332,542.6,16994.333333333332,10496.3,67354.0,10999.4,72816.66666666667
decor,2321.4,16675.0,543.0,17137.6666666667,10525.9,67385.3333333333,11020.8,72837.0
borda,2340.4,16862.333333333332,546.6,17372.333333333332,10827.1,70232.33333333333,11325.0,75870.33333333333
markov_chain,2353.2,16993.333333333332,551.4,17483.333333333332,11151.9,73580.0,11639.4,79244.66666666667
spearman,2360.6,17060.666666666668,550.2,17494.333333333332,10735.1,69450.66666666667,11237.8,74865.33333333333
kwiksort,2362.4,17784.666666666668,562.2,18149.666666666668,10765.7,69192.0,11145.6,74930.66666666667
max_agreement,2331.4,16823.0,545.6,17291.0,10903.3,70585.66666666667,11302.8,76325.33333333333
min_regret,2331.2,16827.666666666668,542.4,17294.333333333332,10698.5,69833.33333333333,11192.0,75556.33333333333
