source_file,kemeny_distance,time_sec,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50,rank_51,rank_52,rank_53,rank_54,rank_55,rank_56,rank_57,rank_58,rank_59,rank_60,rank_61,rank_62,rank_63,rank_64,rank_65,rank_66,rank_67
MEAN/TOTAL,542.6,0.1337120532989502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013_10_voters_common.csv#0,542.6,0.1337120532989502,164.0,198.0,98.0,352.0,204.0,241.0,346.0,362.0,433.0,277.0,426.0,266.0,97.0,170.0,66.0,341.0,265.0,147.0,103.0,38.0,186.0,275.0,159.0,276.0,406.0,28.0,39.0,141.0,393.0,11.0,329.0,125.0,437.0,121.0,194.0,119.0,280.0,419.0,230.0,196.0,326.0,315.0,390.0,151.0,150.0,271.0,3.0,220.0,193.0,192.0,175.0,88.0,309.0,438.0,340.0,12.0,369.0,134.0,80.0,122.0,128.0,316.0,189.0,72.0,90.0,264.0,339.0
