source_file,kemeny_distance,time_sec,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50,rank_51,rank_52,rank_53,rank_54,rank_55,rank_56,rank_57,rank_58,rank_59,rank_60,rank_61,rank_62,rank_63,rank_64,rank_65,rank_66,rank_67,rank_68,rank_69,rank_70,rank_71,rank_72,rank_73,rank_74,rank_75,rank_76,rank_77,rank_78,rank_79,rank_80,rank_81,rank_82,rank_83,rank_84,rank_85,rank_86,rank_87,rank_88,rank_89,rank_90,rank_91,rank_92,rank_93,rank_94,rank_95,rank_96,rank_97,rank_98,rank_99,rank_100,rank_101,rank_102,rank_103,rank_104,rank_105,rank_106,rank_107,rank_108,rank_109,rank_110,rank_111,rank_112,rank_113,rank_114,rank_115,rank_116,rank_117,rank_118,rank_119,rank_120,rank_121,rank_122,rank_123,rank_124,rank_125,rank_126,rank_127,rank_128,rank_129,rank_130,rank_131,rank_132,rank_133,rank_134,rank_135
MEAN/TOTAL,2353.2,0.4946002960205078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012_10_voters_common.csv#0,2353.2,0.4946002960205078,124,425,202,290,418,436,251,334,184,526,318,532,229,161,38,411,196,132,476,187,492,242,392,374,51,214,326,178,81,186,337,531,238,237,327,256,24,156,111,16,160,509,277,173,432,333,18,248,122,383,62,487,437,315,154,372,387,370,382,220,375,134,188,176,471,234,343,201,393,231,17,448,143,114,158,309,433,139,73,55,77,377,421,422,283,89,472,40,284,469,301,115,520,49,252,105,275,193,297,3,266,394,225,80,292,434,414,64,204,155,296,299,164,270,311,522,475,171,147,96,211,336,428,11,350,247,457,41,30,258,250,274,261,413,107
