26-03-07--06-29-24

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=8
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[8, 8]
num_items_range=[100, 100]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=random
sample_voters_from_range=True
sample_items_from_range=True
original_validation_data=True
checkpoint_file=None
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/8_voters_100_items_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset/
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/8_voters_100_items_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/8_voters_100_items_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1

Epoch: 34, epoch time: 11.75min, tot time: 0.26day, kemeny_dis_train: 1877.134399, kemeny_dis_base: 1877.588135, update: True, training_phase: 2
Epoch: 35, epoch time: 11.70min, tot time: 0.26day, kemeny_dis_train: 1879.177734, kemeny_dis_base: 1879.225830, update: False, training_phase: 2
Epoch: 36, epoch time: 11.72min, tot time: 0.27day, kemeny_dis_train: 1880.372925, kemeny_dis_base: 1880.480835, update: True, training_phase: 2
Epoch: 37, epoch time: 11.70min, tot time: 0.28day, kemeny_dis_train: 1878.379883, kemeny_dis_base: 1878.575928, update: True, training_phase: 2
Epoch: 38, epoch time: 11.69min, tot time: 0.29day, kemeny_dis_train: 1877.982605, kemeny_dis_base: 1878.365906, update: True, training_phase: 2
Epoch: 39, epoch time: 11.73min, tot time: 0.30day, kemeny_dis_train: 1877.018799, kemeny_dis_base: 1877.048950, update: False, training_phase: 2
Epoch: 40, epoch time: 11.72min, tot time: 0.30day, kemeny_dis_train: 1878.053223, kemeny_dis_base: 1878.137329, update: True, training_phase: 2
Epoch: 41, epoch time: 11.77min, tot time: 0.31day, kemeny_dis_train: 1877.657898, kemeny_dis_base: 1877.689148, update: False, training_phase: 2
Epoch: 42, epoch time: 11.73min, tot time: 0.32day, kemeny_dis_train: 1878.931458, kemeny_dis_base: 1879.057678, update: True, training_phase: 2
Epoch: 43, epoch time: 11.75min, tot time: 0.33day, kemeny_dis_train: 1879.013123, kemeny_dis_base: 1879.149475, update: True, training_phase: 2
